ZipCode,MedianIncome,MilitaryServiceRate,UnemploymentRate,EducationLevel,PovertyRate,PctWhereRentIsMoreThan35PctOfIncome
32034,68533,0.00382661935573645,0.0341960620608085,3.15252025820629,0.121303542625007,0.422991071428571
32073,56546,0.0165108842700775,0.0431681220022138,2.88332668528121,0.114728447405613,0.329201604083121
32081,114048,0.00764975873837825,0.0347181358126398,3.46129541864139,0.0127399500731686,0.12532981530343
32202,28025,0.00342876735813475,0.0212583576204355,2.95649685174585,0.496728307254623,0.187176165803109
32204,40417,0.0115466423579459,0.0290185353995746,3.02512302512303,0.269476018852232,0.395608351331893
32205,43054,0.00515687294158433,0.046628531807939,2.84172944130571,0.235623391975523,0.373483009708738
32206,25757,0.0015589043129686,0.0692598916190335,2.37240970988751,0.350229579507008,0.477031802120141
32207,45214,0.00107449856733524,0.0335243553008596,2.88401466793427,0.196654148173438,0.356967882416984
32208,33425,0,0.0835489976437869,2.4258439855785,0.261162438587276,0.485381234473533
32209,23890,0,0.0659172006292445,2.27753132539497,0.412762057509451,0.482000301250188
32210,43177,0.00537680112211502,0.0729587282696476,2.71035459775049,0.204895498658541,0.453378633446584
32211,38025,0.00342956207130474,0.0635034295620713,2.61162103298071,0.198362795112113,0.43389388228472
32212,55037,0.738990825688073,0.0123853211009174,3.00677966101695,0.142857142857143,0.376271186440678
32216,50648,0.00577867668303958,0.0522970239815082,2.9465781672896,0.213692946058091,0.401085721499811
32217,46065,0.000953591862682772,0.0363636363636364,2.92832427088482,0.114216608438592,0.377207062600321
32218,51447,0.0180137575236457,0.0427773000859845,2.73927825537909,0.139641176069309,0.377527162701142
32219,46580,0.000698463380562762,0.0515865096787068,2.55159971133029,0.135629616904312,0.372859025032938
32220,53112,0.00218818380743982,0.0462253829321663,2.59542143600416,0.144438056912906,0.33264675592173
32221,59801,0.00460183196739273,0.0404961213130561,2.66459310626147,0.142204454597373,0.336960746210649
32222,64036,0.0114927168248029,0.0410263263397033,2.91633828432858,0.105149330587024,0.401226993865031
32223,79722,0.00346544318625537,0.0302128074970715,3.17965140697186,0.0728734971892823,0.293989071038251
32224,72590,0.00995881231941968,0.0265568328517858,3.27326130992573,0.0730631897857607,0.37862950058072
32225,69233,0.0244048303622772,0.0397239792984474,3.03583370764086,0.0641859433892543,0.398643058083733
32226,78729,0.0125246159905475,0.0297755021662072,2.84595635430039,0.0796509126667076,0.247678018575851
32227,42933,0.701568032372281,0.0359129994941831,2.9044289044289,0.0364705882352941,0.458823529411765
32233,57345,0.121635190054984,0.0298828591919675,2.99233961059687,0.113359590746525,0.367542352074638
32234,52330,0.000623441396508728,0.0696176226101413,2.2770120053357,0.123846527440505,0.190152801358234
32244,49871,0.0184104472681627,0.0728489946926821,2.77774623900085,0.173356896406631,0.403834911726879
32246,53720,0.0160027074066912,0.0483465480564688,2.9603734334568,0.145596853643815,0.349216781684741
32250,70383,0.00686813186813187,0.0204714640198511,3.26535685645549,0.0823605215281989,0.287633739736253
32254,29226,0,0.10310421286031,2.26545535120762,0.327979441053646,0.516170763260026
32256,59624,0.0039025447844115,0.025745955174937,3.31708312085671,0.103091852854886,0.320765565960243
32257,54347,0.00241553673226191,0.0403877741634191,3.03022245281795,0.0954816483370876,0.42964996568291
32258,79866,0.00729136285988084,0.0297070955376859,3.34750192818579,0.0397858700680722,0.229220779220779
32266,79333,0.00201240986080832,0.0451115210464531,3.43156424581006,0.128489986844029,0.412595005428882
32277,47141,0.00565089995814148,0.0508999581414818,2.85195698924731,0.13054438918035,0.43472485768501
